"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"Congenital hemolytic anemia","Congenital hemolytic anemia","6/250","41/17907",0.146341463414634,10.4821463414634,7.23262175074487,2.08193954201432e-05,0.00104219444132599,0.000767460066468023,"HBB/SLC2A1/ALDOA/PGK1/SLC4A1/ADA",6,"up"
"Hemolytic anemia","Hemolytic anemia","6/250","41/17907",0.146341463414634,10.4821463414634,7.23262175074487,2.08193954201432e-05,0.00104219444132599,0.000767460066468023,"HBB/SLC2A1/ALDOA/PGK1/SLC4A1/ADA",6,"up"
"cor pulmonale","cor pulmonale","12/250","200/17907",0.06,4.29768,5.58035528925306,2.53748830960801e-05,0.00124580916431332,0.000917399619627513,"ACTC1/KNG1/SERPINE1/SERPINC1/KCNAB2/SLC4A1/VCL/CYB5R3/PLG/F2/RHOA/MAOA",12,"up"
"nodular basal cell carcinoma","nodular basal cell carcinoma","5/250","26/17907",0.192307692307692,13.7746153846154,7.75620790218517,2.6371631949348e-05,0.00127031653522048,0.000935446567259891,"KRT4/KRT31/KRT14/KRT15/KRT35",5,"up"
"larynx cancer","larynx cancer","17/250","381/17907",0.0446194225721785,3.196,5.15542241960744,2.71378453541524e-05,0.00127463072390102,0.000938623486460599,"ENO1/KRT19/SLC2A1/KRT4/EZR/MUS81/NME2/TFRC/NME1/KRT31/CTSB/CALML3/KRT13/CTNNA3/FSCN1/IGFBP7/GSTP1",17,"up"
"tongue cancer","tongue cancer","9/250","112/17907",0.0803571428571429,5.75582142857143,6.00753611713611,2.7459729657092e-05,0.00127463072390102,0.000938623486460599,"ACTA1/HBB/MSN/SLC2A1/PPIA/CAP1/PRDX1/KRT13/MYL3",9,"up"
"sweat gland neoplasm","sweat gland neoplasm","10/250","142/17907",0.0704225352112676,5.04422535211268,5.75715271171461,3.11214138330765e-05,0.00139421851594369,0.00102668656873253,"DES/ACTA1/S100A6/SLC2A1/KRT10/KRT4/VIM/KRT14/KRT15/TG",10,"up"
"theileriasis","theileriasis","6/250","44/17907",0.136363636363636,9.76745454545454,6.92840869431542,3.15612768999462e-05,0.00139421851594369,0.00102668656873253,"MSN/RDX/EZR/HP/SOD1/RPS12",6,"up"
"diabetic angiopathy","diabetic angiopathy","8/250","88/17907",0.0909090909090909,6.51163636363636,6.16724305867913,3.16743728651524e-05,0.00139421851594369,0.00102668656873253,"S100A6/HP/SERPINE1/SERPINC1/APOE/BLVRB/DDOST/IGFBP7",8,"up"
"amyloidosis","amyloidosis","14/250","274/17907",0.0510948905109489,3.65982481751825,5.27929642192512,3.27327820829291e-05,0.00141501998652533,0.00104200453375152,"ACTA1/KRT1/EZR/KNG1/HP/NME1/CTSB/KRT14/SERPINC1/APOE/PLG/F2/TTR/A2M",14,"up"
"cholesterol embolism","cholesterol embolism","4/250","14/17907",0.285714285714286,20.4651428571429,8.66943646538231,3.32554638431336e-05,0.00141501998652533,0.00104200453375152,"SERPINE1/SERPINC1/PLG/F2",4,"up"
"hair follicle neoplasm","hair follicle neoplasm","6/250","45/17907",0.133333333333333,9.5504,6.83342578994176,3.59947655476542e-05,0.00148217155553486,0.00109145418112242,"S100A6/KRT19/TXN/KRT14/KRT15/GSK3B",6,"up"
"pilomatrixoma","pilomatrixoma","6/250","45/17907",0.133333333333333,9.5504,6.83342578994176,3.59947655476542e-05,0.00148217155553486,0.00109145418112242,"S100A6/KRT19/TXN/KRT14/KRT15/GSK3B",6,"up"
"thalassemia","thalassemia","14/250","280/17907",0.05,3.5814,5.18031245095966,4.14715987703629e-05,0.00168058716921804,0.00123756516965527,"HBB/HBE1/PRDX2/HP/PKM/TFRC/HBZ/HBG1/KRT40/SERPINC1/PGK1/SLC4A1/F2/HPX",14,"up"
"beta thalassemia","beta thalassemia","10/250","148/17907",0.0675675675675676,4.83972972972973,5.58127082105172,4.43562112361091e-05,0.00174048488691003,0.00128167316388204,"HBB/HBE1/HP/PKM/TFRC/HBZ/HBG1/SERPINC1/SLC4A1/F2",10,"up"
"Blood coagulation disease","Blood coagulation disease","5/250","29/17907",0.172413793103448,12.3496551724138,7.2783516635293,4.60094272858499e-05,0.00174048488691003,0.00128167316388204,"FGG/SERPINC1/PLG/FGB/F2",5,"up"
"dermatomycosis","dermatomycosis","5/250","29/17907",0.172413793103448,12.3496551724138,7.2783516635293,4.60094272858499e-05,0.00174048488691003,0.00128167316388204,"RPS3/PKM/ALDOA/ALDOC/TPT1",5,"up"
"Aplastic anemia","Aplastic anemia","6/250","47/17907",0.127659574468085,9.144,6.65206987626139,4.63583910340313e-05,0.00174048488691003,0.00128167316388204,"RPS24/RPL18/RPS28/RPS10/RPS19/RPL27",6,"up"
"Congenital hypoplastic anemia","Congenital hypoplastic anemia","6/250","47/17907",0.127659574468085,9.144,6.65206987626139,4.63583910340313e-05,0.00174048488691003,0.00128167316388204,"RPS24/RPL18/RPS28/RPS10/RPS19/RPL27",6,"up"
"Amyloidosis","Amyloidosis","7/250","70/17907",0.1,7.1628,6.14719547723421,5.38831186655866e-05,0.0019936753906267,0.00146811975494642,"HBB/KRT1/HBZ/KRT14/APOE/TTR/A2M",7,"up"
"sickle cell anemia","sickle cell anemia","11/250","185/17907",0.0594594594594595,4.25896216216216,5.30175496987948,5.99064277512498e-05,0.00218487300069915,0.00160891548817642,"HBB/HBE1/KRT84/HP/PKM/TFRC/HBG1/SERPINC1/SLC4A1/SMAD5/F2",11,"up"
"nephrosis","nephrosis","16/250","368/17907",0.0434782608695652,3.11426086956522,4.8763054652593,6.37007369839458e-05,0.0022618763563921,0.00166561987858094,"HBE1/HSP90B1/EZR/KNG1/HP/GC/IQGAP1/SERPINE1/SERPINC1/APOE/MPO/PLG/ADA/F2/TTR/HPX",16,"up"
"brain ischemia","brain ischemia","18/250","449/17907",0.0400890868596882,2.87150111358575,4.77888799297206,6.37896974775679e-05,0.0022618763563921,0.00166561987858094,"P4HB/TFRC/HSPA1B/SERPINE1/VIM/INA/FABP3/HSPA1A/TXN/SERPINC1/APOE/MPO/GDI2/PLG/F2/NHP2/GSK3B/HSPD1",18,"up"
"werner syndrome","werner syndrome","10/250","155/17907",0.0645161290322581,4.62116129032258,5.38766904044693,6.56064209945496e-05,0.00229442729861761,0.00168959002013361,"RPS3/MUS81/HPRT1/NEFL/HNRNPU/PLG/RBPMS/POLM/RIPK2/XRCC5",10,"up"
"filariasis","filariasis","12/250","221/17907",0.0542986425339367,3.88930316742081,5.14262996564794,6.71515549201403e-05,0.00231672864474484,0.00170601247634951,"DES/HP/P4HB/NEFH/KRT31/INA/TXN/HNRNPU/MPO/ALAD/TPT1/HSPD1",12,"up"
"fibrosarcoma","fibrosarcoma","17/250","412/17907",0.0412621359223301,2.95552427184466,4.77821493348769,7.18389129922761e-05,0.00241562442610041,0.00177883819861683,"DES/S100A6/HSP90B1/KRT10/RPS3/HPRT1/MYL6/IQGAP1/HSPA1B/SERPINE1/CTSB/HSPA1A/PGK1/KIT/PLG/F2/IGFBP7",17,"up"
"brain infarction","brain infarction","15/250","333/17907",0.045045045045045,3.22648648648649,4.87997621414622,7.27446893611315e-05,0.00241562442610041,0.00177883819861683,"KNG1/SERPINE1/INA/CTSB/FABP3/TXN/NEFL/SAR1B/SERPINC1/APOE/MPO/PLG/FGB/F2/TTR",15,"up"
"posterior uveitis","posterior uveitis","6/250","51/17907",0.117647058823529,8.42682352941176,6.31985246582262,7.42148779151827e-05,0.00241562442610041,0.00177883819861683,"P4HB/NME1/HSPA1B/HSPB1/HSPA1A/PRDX4",6,"up"
"keratinizing squamous cell carcinoma","keratinizing squamous cell carcinoma","5/250","32/17907",0.15625,11.191875,6.86620693882062,7.53994218283163e-05,0.00241562442610041,0.00177883819861683,"KRT18/KRT10/KRT17/KRT14/TG",5,"up"
"post-thrombotic syndrome","post-thrombotic syndrome","4/250","17/17907",0.235294117647059,16.8536470588235,7.78142815135939,7.6501842758134e-05,0.00241562442610041,0.00177883819861683,"EZR/SERPINC1/PLG/F2",4,"up"
"sneddon syndrome","sneddon syndrome","4/250","17/17907",0.235294117647059,16.8536470588235,7.78142815135939,7.6501842758134e-05,0.00241562442610041,0.00177883819861683,"SERPINC1/ADA/F2/ARSA",4,"up"
"acute myocardial infarction","acute myocardial infarction","16/250","374/17907",0.0427807486631016,3.06429946524064,4.80055246752729,7.70257248906782e-05,0.00241562442610041,0.00177883819861683,"HBB/ST7L/KNG1/HP/SERPINE1/FABP3/TXN/LDHB/SERPINC1/APOE/MPO/PLG/F2/TTR/MYL3/HSPD1",16,"up"
"urticaria","urticaria","13/250","260/17907",0.05,3.5814,4.98904444372149,7.79876880154915e-05,0.00241562442610041,0.00177883819861683,"IGHM/KRT1/KNG1/EEF1B2/INA/SERPINC1/CCR3/MPO/PLG/TG/F2/RPS19/TPT1",13,"up"
"actinic keratosis","actinic keratosis","9/250","128/17907",0.0703125,5.03634375,5.45318587390903,7.85338140878708e-05,0.00241562442610041,0.00177883819861683,"KRT18/S100A6/KRT19/KRT1/KRT10/EZR/CALML3/KRT14/KRT15",9,"up"
"cerebral infarction","cerebral infarction","13/250","261/17907",0.0498084291187739,3.56767816091954,4.97219942956497,8.1073126581685e-05,0.00246404395432193,0.00181449378539962,"KNG1/SERPINE1/INA/FABP3/TXN/NEFL/SERPINC1/APOE/MPO/PLG/FGB/F2/TTR",13,"up"
"breast disease","breast disease","17/250","417/17907",0.0407673860911271,2.92008633093525,4.72068165842314,8.32337277424599e-05,0.00247616250450554,0.00182341774714861,"ACTA1/KRT19/HP/HNRNPK/CTSB/LDHB/KRT14/SERPINC1/HNRNPU/MPO/KCNAB2/GATM/PLG/F2/A2M/GSTP1/HSPD1",17,"up"
"retinal vascular occlusion","retinal vascular occlusion","9/250","129/17907",0.0697674418604651,4.9973023255814,5.4216469854685,8.34116629014792e-05,0.00247616250450554,0.00182341774714861,"SERPINE1/SERPINC1/MPO/VCL/PLG/FGB/F2/IGFBP7/TPT1",9,"up"
"intracranial thrombosis","intracranial thrombosis","8/250","101/17907",0.0792079207920792,5.67350495049505,5.60442478901597,8.5238764212116e-05,0.0024861214372385,0.00183075139130763,"KNG1/P4HB/SERPINE1/SERPINC1/APOE/PLG/TLN1/F2",8,"up"
"thoracic disease","thoracic disease","17/250","418/17907",0.0406698564593301,2.9131004784689,4.7092773450124,8.56947459761019e-05,0.0024861214372385,0.00183075139130763,"ACTA1/KRT19/HP/HNRNPK/CTSB/LDHB/KRT14/SERPINC1/HNRNPU/MPO/KCNAB2/GATM/PLG/F2/A2M/GSTP1/HSPD1",17,"up"
"x-linked ichthyosis","x-linked ichthyosis","6/250","53/17907",0.113207547169811,8.10883018867925,6.16707380171689,9.24284036862937e-05,0.00265134510798997,0.00195242021269924,"KRT1/KRT10/KRT17/ALDOA/KRT6A/ARSA",6,"up"
"viral hepatitis","viral hepatitis","12/250","229/17907",0.0524017467248908,3.75343231441048,4.98983766966896,9.42969963427902e-05,0.00267489146292382,0.00196975947916051,"ACTA1/KRT18/HBE1/KRT19/HP/SERPINC1/PLG/ADA/F2/RHOC/TTR/A2M",12,"up"
"fetal erythroblastosis","fetal erythroblastosis","4/250","18/17907",0.222222222222222,15.9173333333333,7.53434062700402,9.72842474930603e-05,0.00272717207196018,0.00200825832169414,"HBE1/TFRC/HBZ/ADA",4,"up"
"inherited blood coagulation disease","inherited blood coagulation disease","12/250","230/17907",0.0521739130434783,3.73711304347826,4.9712225647478,9.82764710616281e-05,0.00272717207196018,0.00200825832169414,"KNG1/PAFAH1B2/SERPINE1/KRT31/FGG/SERPINC1/CFHR1/PLG/FGB/TLN1/F2/TPT1",12,"up"
"aortic disease","aortic disease","16/250","384/17907",0.0416666666666667,2.9845,4.67760258520774,0.00010471755114904,0.00287466567831718,0.0021168709264537,"ACTA1/HP/PPIA/SERPINE1/CTSB/DSTN/SERPINC1/MYL12A/APOE/MPO/BNIP1/MBD1/PLG/F2/A2M/MYL12B",16,"up"
"hepatic coma","hepatic coma","6/250","56/17907",0.107142857142857,7.67442857142857,5.95233909233099,0.00012623731875157,0.00342855185928467,0.00252474637503141,"HBE1/NME2/ASS1/SERPINC1/F2/TTR",6,"up"
"hidradenoma","hidradenoma","6/250","57/17907",0.105263157894737,7.53978947368421,5.88427446166097,0.000139457914723208,0.00372176114301051,0.00274066233797876,"DES/S100A6/KRT10/VIM/KRT15/TG",6,"up"
"obstructive jaundice","obstructive jaundice","9/250","138/17907",0.0652173913043478,4.67139130434783,5.15168808628239,0.00013994871513083,0.00372176114301051,0.00274066233797876,"HP/TFRC/ASS1/ALDOA/SERPINC1/MPO/ALDOC/F2/TTR",9,"up"
"skin squamous cell carcinoma","skin squamous cell carcinoma","10/250","171/17907",0.0584795321637427,4.18877192982456,4.98545165779298,0.000148434597409536,0.0038841232029153,0.00286022390187261,"S100A6/MSN/KRT1/RDX/KRT10/KRT4/EZR/KRT17/NME2/KRT15",10,"up"
"cardiovascular cancer","cardiovascular cancer","11/250","205/17907",0.0536585365853659,3.84345365853659,4.87217358550448,0.000149617135850762,0.0038841232029153,0.00286022390187261,"DES/S100A6/KRT19/SLC2A1/NEFH/VIM/KRT14/KRT15/KIT/MPO/PROX1",11,"up"
"angiokeratoma","angiokeratoma","4/250","20/17907",0.2,14.3256,7.09486037337669,0.000150686194064547,0.0038841232029153,0.00286022390187261,"SLC2A1/VIM/CTSB/PROX1",4,"up"
"cholesteatoma of middle ear","cholesteatoma of middle ear","6/250","58/17907",0.103448275862069,7.40979310344828,5.81784168984006,0.000153751626555323,0.0038841232029153,0.00286022390187261,"HSP90B1/PRDX2/KRT1/KRT10/KRT13/PGK1",6,"up"
"middle ear cholesteatoma","middle ear cholesteatoma","6/250","58/17907",0.103448275862069,7.40979310344828,5.81784168984006,0.000153751626555323,0.0038841232029153,0.00286022390187261,"HSP90B1/PRDX2/KRT1/KRT10/KRT13/PGK1",6,"up"
"splenic disease","splenic disease","8/250","110/17907",0.0727272727272727,5.20930909090909,5.26919893734986,0.000155182360633514,0.0038841232029153,0.00286022390187261,"HBB/HBE1/KRT84/HP/PKM/SERPINC1/ADA/F2",8,"up"
"hereditary spherocytosis","hereditary spherocytosis","7/250","83/17907",0.0843373493975904,6.0409156626506,5.47717638299219,0.000160041989775886,0.0039668660184256,0.00292115476484142,"HBB/PRDX2/HP/PKM/TFRC/SLC4A1/MBD1",7,"up"
"alcoholic liver cirrhosis","alcoholic liver cirrhosis","9/250","141/17907",0.0638297872340425,4.572,5.0668379367326,0.000164757978177079,0.00404449152198157,0.00297831729781643,"TMBIM6/HP/GC/TFRC/SERPINC1/PLG/ADA/F2/TTR",9,"up"
"dengue disease","dengue disease","12/250","244/17907",0.0491803278688525,3.52268852459016,4.72103419685589,0.000171136411962526,0.00416105961657457,0.00306415670942428,"RPL14/HNRNPK/GC/P4HB/SERPINE1/SERPINC1/LGALS9/PRDX4/PLG/F2/RAB18/HPX",12,"up"
"non-langerhans-cell histiocytosis","non-langerhans-cell histiocytosis","9/250","142/17907",0.0633802816901408,4.53980281690141,5.03908254657793,0.000173801053959756,0.00418598198829488,0.00308250925890888,"CTSB/FABP3/PGK1/CCR3/APOE/SERPINB8/FSCN1/GDI2/ARSA",9,"up"
"perineurioma","perineurioma","5/250","38/17907",0.131578947368421,9.42473684210526,6.18598487481501,0.000175543951755738,0.00418844587693831,0.00308432363832512,"S100A6/SLC2A1/FABP3/KRT14/KIT",5,"up"
"Familial visceral amyloidosis","Familial visceral amyloidosis","4/250","21/17907",0.19047619047619,13.6434285714286,6.8980879841929,0.000184109532891303,0.00426263217185162,0.00313895357739171,"HBB/HBZ/APOE/TTR",4,"up"
"kidney cortex necrosis","kidney cortex necrosis","4/250","21/17907",0.19047619047619,13.6434285714286,6.8980879841929,0.000184109532891303,0.00426263217185162,0.00313895357739171,"SERPINE1/PLG/F2/GSTP1",4,"up"
"uremia","uremia","11/250","210/17907",0.0523809523809524,3.75194285714286,4.773204809586,0.00018471654590265,0.00426263217185162,0.00313895357739171,"PKM/S100G/DSTN/SERPINC1/APOE/MPO/GATM/PLG/F2/TTR/ALAD",11,"up"
"nemaline myopathy","nemaline myopathy","6/250","60/17907",0.1,7.1628,5.68960246580437,0.000185806412300278,0.00426263217185162,0.00313895357739171,"DES/ACTA1/ACTC1/NEFL/DSTN/VCL",6,"up"
"venous insufficiency","venous insufficiency","8/250","113/17907",0.0707964601769911,5.07100884955752,5.16553502916183,0.000187001489716953,0.00426263217185162,0.00313895357739171,"EZR/KNG1/SERPINE1/SERPINC1/MPO/PLG/F2/TTR",8,"up"
"nephrotic syndrome","nephrotic syndrome","14/250","326/17907",0.0429447852760736,3.0760490797546,4.50127415999424,0.000207494465189713,0.00468790592592333,0.00345212030581115,"HBE1/EZR/KNG1/HP/GC/IQGAP1/SERPINE1/SERPINC1/APOE/MPO/PLG/F2/TTR/HPX",14,"up"
"familial juvenile hyperuricemic nephropathy","familial juvenile hyperuricemic nephropathy","4/250","22/17907",0.181818181818182,13.0232727272727,6.71429475229498,0.000222567114969723,0.00497273304829017,0.0036618637410049,"HPRT1/CRYM/LGALS9/GSK3B",4,"up"
"spotted fever","spotted fever","8/250","116/17907",0.0689655172413793,4.93986206896552,5.06548074111328,0.000223996984157215,0.00497273304829017,0.0036618637410049,"EZR/KNG1/SERPINC1/CDC42/VCL/PLG/F2/HSPD1",8,"up"
"plasmodium falciparum malaria","plasmodium falciparum malaria","10/250","181/17907",0.0552486187845304,3.95734806629834,4.75824930521702,0.000235648745900683,0.00518630386452106,0.00381913484735589,"HBB/HBE1/KRT84/HP/FABP3/SERPINC1/KCNAB2/ADA/F2/HPX",10,"up"
"antithrombin iii deficiency","antithrombin iii deficiency","4/250","23/17907",0.173913043478261,12.4570434782609,6.54206695352902,0.000266484459366492,0.00581482756207396,0.00428197250947867,"SERPINC1/PLG/F2/TPT1",4,"up"
