"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"abdominal aortic aneurysm","abdominal aortic aneurysm","10/250","191/17907",0.0523560209424084,3.75015706806283,4.54676158313413,0.000362301743107829,0.00711504884734067,0.00523944059263629,"HP/PPIA/SERPINE1/CTSB/SERPINC1/APOE/MPO/BNIP1/PLG/F2",10,"up"
"restrictive cardiomyopathy","restrictive cardiomyopathy","6/250","68/17907",0.0882352941176471,6.32011764705882,5.22999502486133,0.000370205206990901,0.00721476254540283,0.00531286861941141,"DES/ACTC1/MYL12A/VCL/TTR/MYL3",6,"up"
"perivascular tumor","perivascular tumor","7/250","96/17907",0.0729166666666667,5.222875,4.93640208191515,0.00039414702285114,0.00757568146636505,0.00557864518478899,"DES/S100A6/NEFH/VIM/KRT14/KRT15/KIT",7,"up"
"central retinal vein occlusion","central retinal vein occlusion","5/250","45/17907",0.111111111111111,7.95866666666667,5.56132254205745,0.000394659473179221,0.00757568146636505,0.00557864518478899,"SERPINE1/SERPINC1/VCL/PLG/F2",5,"up"
"acute cor pulmonale","acute cor pulmonale","3/250","11/17907",0.272727272727273,19.5349090909091,7.31677420930801,0.000408344520355694,0.0077222485960599,0.00568657554273114,"SERPINE1/VCL/PLG",3,"up"
"acute pulmonary heart disease","acute pulmonary heart disease","3/250","11/17907",0.272727272727273,19.5349090909091,7.31677420930801,0.000408344520355694,0.0077222485960599,0.00568657554273114,"SERPINE1/VCL/PLG",3,"up"
"mucoepidermoid carcinoma","mucoepidermoid carcinoma","12/250","269/17907",0.0446096654275093,3.19530111524164,4.31674510094115,0.000417040233336529,0.00782870379197175,0.00576496793141672,"DES/KRT4/NME2/IQGAP1/SLC25A3/KRT14/KRT13/RNH1/FSCN1/TG/F2/RHOA",12,"up"
"thymus cancer","thymus cancer","14/250","350/17907",0.04,2.86512,4.19301564299961,0.00042582464752196,0.00793525784761726,0.00584343311927945,"KRT19/HSP90B1/KRT84/SLC2A1/TFRC/TXN/LDHB/KRT14/KRT13/KIT/DAP3/FSCN1/TG/SALL4",14,"up"
"embryoma","embryoma","4/250","26/17907",0.153846153846154,11.0196923076923,6.08353475345957,0.000435358683069652,0.00798357980479878,0.00587901685586436,"KRT14/MPO/SERPINB8/ARSA",4,"up"
"cutaneous mycosis","cutaneous mycosis","8/250","128/17907",0.0625,4.47675,4.69716286852755,0.000436894450687639,0.00798357980479878,0.00587901685586436,"RPS3/PKM/ALDOA/CTSB/CTNNA3/ALDOC/XRCC5/TPT1",8,"up"
"protein c deficiency","protein c deficiency","5/250","46/17907",0.108695652173913,7.78565217391304,5.48312896646051,0.000437799127564367,0.00798357980479878,0.00587901685586436,"PAFAH1B2/SERPINE1/SERPINC1/PLG/F2",5,"up"
"hemochromatosis","hemochromatosis","8/250","129/17907",0.062015503875969,4.44204651162791,4.66853882284112,0.000460265213516475,0.0083337382277132,0.006136869513553,"HP/PKM/TFRC/APOE/SMAD5/F2/ALAD/HPX",8,"up"
"choroideremia","choroideremia","5/250","47/17907",0.106382978723404,7.62,5.40725719312996,0.000484399215246549,0.00864805032534573,0.00636832534729729,"PGK1/GDI2/GDI1/VDAC1/ARSA",5,"up"
"rocky mountain spotted fever","rocky mountain spotted fever","5/250","47/17907",0.106382978723404,7.62,5.40725719312996,0.000484399215246549,0.00864805032534573,0.00636832534729729,"EZR/KNG1/VCL/PLG/HSPD1",5,"up"
"essential hypertension","essential hypertension","15/250","398/17907",0.0376884422110553,2.69954773869347,4.07995213982194,0.000499067691730046,0.00877933822409619,0.00646500425432857,"HBB/KNG1/HP/NEFH/SERPINE1/SERPINC1/APOE/SLC4A1/CCT4/PLG/F2/RHOA/RPS19/RPL6/IGFBPL1",15,"up"
"vascular cancer","vascular cancer","9/250","164/17907",0.0548780487804878,3.93080487804878,4.48648416619145,0.000505212526634419,0.00877933822409619,0.00646500425432857,"DES/S100A6/SLC2A1/NEFH/VIM/KRT14/KRT15/KIT/PROX1",9,"up"
"splenic infarction","splenic infarction","4/250","27/17907",0.148148148148148,10.6115555555556,5.94706439801947,0.000505508311375691,0.00877933822409619,0.00646500425432857,"HBB/PKM/SERPINC1/F2",4,"up"
"splenic sequestration","splenic sequestration","4/250","27/17907",0.148148148148148,10.6115555555556,5.94706439801947,0.000505508311375691,0.00877933822409619,0.00646500425432857,"HBB/HBE1/KRT84/F2",4,"up"
"palmoplantar keratosis","palmoplantar keratosis","8/250","131/17907",0.0610687022900763,4.37422900763359,4.61215631105757,0.000510052367831704,0.00879840334509689,0.0064790435913757,"DES/KRT1/KRT10/KRT17/KRT6A/KRT14/KRT24/LIPH",8,"up"
"pick's disease","pick's disease","7/250","101/17907",0.0693069306930693,4.96431683168317,4.75397282304043,0.000536250539798271,0.00915141084239908,0.00673899427485714,"NEFH/NEFM/HSPB1/PRDX1/APOE/MAOA/GSK3B",7,"up"
"end stage renal failure","end stage renal failure","15/250","401/17907",0.0374064837905237,2.67935162094763,4.04698130289998,0.000539393623725162,0.00915141084239908,0.00673899427485714,"HBE1/KNG1/HP/GC/RAB26/TFRC/SERPINE1/SERPINC1/APOE/MPO/CFHR1/PLG/F2/TTR/ALAD",15,"up"
"bilirubin metabolic disorder","bilirubin metabolic disorder","10/250","201/17907",0.0497512437810945,3.56358208955224,4.34906464786481,0.000541270284842249,0.00915141084239908,0.00673899427485714,"HBE1/MSN/RDX/EZR/HP/PKM/SERPINC1/F2/GSTP1/HPX",10,"up"
"hypersensitivity reaction type iv disease","hypersensitivity reaction type iv disease","16/250","446/17907",0.0358744394618834,2.56961434977578,3.99426311235021,0.000558203098151178,0.00937560861565762,0.0069040909508172,"ACTA1/HBE1/ENO1/KNG1/HP/TFRC/HSPA1L/PRDX1/CCR3/MPO/FSCN1/PLG/ADA/TTR/RIPK2/HSPD1",16,"up"
"hepatitis b","hepatitis b","15/250","404/17907",0.0371287128712871,2.65945544554455,4.01430964301173,0.000582473552220628,0.0096705792239822,0.00712130393305388,"KRT18/HBE1/KRT19/HSP90B1/HP/TFRC/SERPINC1/SLC4A1/RHOV/LGALS9/TG/F2/RHOC/TTR/OTUB1",15,"up"
"factor xiii deficiency","factor xiii deficiency","4/250","28/17907",0.142857142857143,10.2325714285714,5.81756059686991,0.000583340854090583,0.0096705792239822,0.00712130393305388,"SERPINE1/SERPINC1/PLG/F2",4,"up"
"childhood electroclinical syndrome","childhood electroclinical syndrome","7/250","103/17907",0.0679611650485437,4.86792233009709,4.68433989722715,0.000603381741551555,0.00993828120116852,0.00731843660720596,"SLC2A1/CTSB/CTNNA3/FSCN1/PLG/ADA/TPT1",7,"up"
"chagas disease","chagas disease","12/250","281/17907",0.0427046263345196,3.05884697508897,4.13915015619001,0.000614690361537537,0.0100596441859316,0.0074078069210934,"PZP/ACTC1/KRT18/KNG1/NME2/CTSB/SLC25A3/MPO/VCL/RNH1/ADA/A2M",12,"up"
"pseudotumor cerebri","pseudotumor cerebri","6/250","75/17907",0.08,5.73024,4.88455063628918,0.000628010486669746,0.010212170525273,0.00752012557286066,"DES/HP/GC/SERPINC1/F2/HPX",6,"up"
"porphyria cutanea tarda","porphyria cutanea tarda","5/250","50/17907",0.1,7.1628,5.19241818994923,0.000646735330188187,0.0104500968225977,0.00769533177692274,"ACTA1/HP/TFRC/ALAD/HPX",5,"up"
"vein disease","vein disease","16/250","453/17907",0.0353200883002208,2.52990728476821,3.92443882556474,0.000659684315552788,0.0105922896704797,0.00780004096376881,"EZR/KNG1/HP/HSPA1B/HINT1/SERPINE1/FGG/SERPINC1/MPO/KCNAB2/VCL/RNH1/BLVRB/PLG/F2/TTR",16,"up"
"erdheim-chester disease","erdheim-chester disease","4/250","29/17907",0.137931034482759,9.87972413793103,5.69442454146794,0.000669313882379341,0.0106134058491581,0.00781559067623081,"FABP3/PGK1/CCR3/FSCN1",4,"up"
"skull base chordoma","skull base chordoma","4/250","29/17907",0.137931034482759,9.87972413793103,5.69442454146794,0.000669313882379341,0.0106134058491581,0.00781559067623081,"SERPINE1/CTSB/FSCN1/CD24",4,"up"
"echinococcosis","echinococcosis","8/250","137/17907",0.0583941605839416,4.18265693430657,4.4495616984371,0.00068615521236484,0.0107273534299779,0.00789950037146826,"MSN/RDX/EZR/ALDOA/EEF1B2/TXN/ALDOC/TPT1",8,"up"
"cutaneous anthrax","cutaneous anthrax","3/250","13/17907",0.230769230769231,16.5295384615385,6.66480341864464,0.000693307213453331,0.0107273534299779,0.00789950037146826,"PRDX1/ADA/HSPD1",3,"up"
"hemoglobin c disease","hemoglobin c disease","3/250","13/17907",0.230769230769231,16.5295384615385,6.66480341864464,0.000693307213453331,0.0107273534299779,0.00789950037146826,"HBB/HBE1/PKM",3,"up"
"korean hemorrhagic fever","korean hemorrhagic fever","3/250","13/17907",0.230769230769231,16.5295384615385,6.66480341864464,0.000693307213453331,0.0107273534299779,0.00789950037146826,"SERPINC1/PLG/F2",3,"up"
"angioedema","angioedema","7/250","106/17907",0.0660377358490566,4.73015094339623,4.5831911925521,0.000716420198526077,0.0110181973905848,0.00811367453752424,"IGHM/KRT1/KNG1/INA/SERPINC1/PLG/F2",7,"up"
"malignant pleural mesothelioma","malignant pleural mesothelioma","10/250","210/17907",0.0476190476190476,3.41085714285714,4.18159660533719,0.000759804644023964,0.011495658403927,0.00846527136677745,"SLC2A1/NME2/EIF4A2/NME1/ASS1/ALDOA/EEF1B2/TXN/CCAR1/MYL3",10,"up"
"breast adenocarcinoma","breast adenocarcinoma","13/250","329/17907",0.0395136778115502,2.83028571428571,3.98696978858028,0.000760973862226271,0.011495658403927,0.00846527136677745,"S100A6/KRT19/HSP90B1/SLC2A1/TXN/KRT14/KRT15/FSCN1/PLG/CD24/TG/F2/GGPS1",13,"up"
"gallbladder disease","gallbladder disease","13/250","329/17907",0.0395136778115502,2.83028571428571,3.98696978858028,0.000760973862226271,0.011495658403927,0.00846527136677745,"ACTA1/HBB/SLC2A1/KNG1/HP/PKM/CTSB/TXN/SERPINC1/APOE/MPO/F2/TTR",13,"up"
"giardiasis","giardiasis","6/250","78/17907",0.0769230769230769,5.50984615384615,4.74959273517591,0.00077375178629046,0.0115117439356726,0.00847711656837625,"ENO1/HPRT1/ALDOA/TXN/PRDX1/ALDOC",6,"up"
"vascular skin disease","vascular skin disease","14/250","372/17907",0.0376344086021505,2.69567741935484,3.93253555272545,0.000775022607681178,0.0115117439356726,0.00847711656837625,"IGHM/HBE1/KRT1/KNG1/EEF1B2/INA/SERPINC1/CCR3/MPO/PLG/TG/F2/TPT1/HSPD1",14,"up"
"verrucous carcinoma","verrucous carcinoma","5/250","52/17907",0.0961538461538462,6.88730769230769,5.05882102295785,0.000775565983915274,0.0115117439356726,0.00847711656837625,"MSN/RDX/EZR/KRT14/CRYZ",5,"up"
"bile duct cancer","bile duct cancer","16/250","461/17907",0.03470715835141,2.48600433839479,3.84621397822078,0.000794612895508509,0.0117262816314059,0.00863509967373408,"ACTA1/S100A6/ENO1/KRT19/KRT17/RPLP2/KIT/FSCN1/BLVRB/CCT6A/CD24/F2/RHOC/TTR/SALL4/FABP5",16,"up"
"plasma protein metabolism disease","plasma protein metabolism disease","11/250","250/17907",0.044,3.151632,4.0765275001411,0.000806960261241699,0.0118400548675291,0.008718880983531,"KRT18/KRT84/GC/SERPINC1/MPO/CD24/TG/ADA/F2/TTR/GSTP1",11,"up"
"polycythemia","polycythemia","12/250","291/17907",0.0412371134020619,2.95373195876289,3.9982381637777,0.000834634987243757,0.0121761321281904,0.00896636443439008,"HBB/RAB4A/PKM/TFRC/SERPINE1/SERPINC1/PGK1/MPO/MBD1/PLG/F2/ALAD",12,"up"
"clonorchiasis","clonorchiasis","5/250","53/17907",0.0943396226415094,6.75735849056604,4.99464099885312,0.00084672614852246,0.0122823400976014,0.0090445747683081,"PPIA/CTSB/PGK1/MYL12A/PLG",5,"up"
"nail disease","nail disease","4/250","31/17907",0.129032258064516,9.24232258064516,5.46520072631469,0.000867523077884193,0.0125129176149059,0.00921436941481516,"DES/KRT17/KRT6A/SALL4",4,"up"
"congenital ichthyosiform erythroderma","congenital ichthyosiform erythroderma","6/250","80/17907",0.075,5.3721,4.66344419191603,0.000884545604960975,0.0126158934607004,0.00929019964986946,"KRT1/KRT10/KRT4/ALDOA/KRT14/KRT13",6,"up"
"thymic carcinoma","thymic carcinoma","6/250","80/17907",0.075,5.3721,4.66344419191603,0.000884545604960975,0.0126158934607004,0.00929019964986946,"KRT19/SLC2A1/KRT13/KIT/TG/SALL4",6,"up"
"essential tremor","essential tremor","7/250","110/17907",0.0636363636363636,4.55814545454545,4.45407449135031,0.000892530727073427,0.0126590608123248,0.00932198759387801,"NEFH/ASS1/NEFM/VIM/RBPMS/A2M/ALAD",7,"up"
"malignant mesothelioma","malignant mesothelioma","12/250","295/17907",0.0406779661016949,2.9136813559322,3.94354799947028,0.000939347664161375,0.0132196079006922,0.00973476805848073,"KRT18/RDX/SLC2A1/RAB12/EIF4A2/NME1/CTSB/TXN/NCR1/RNH1/CD24/ADA",12,"up"
"laryngeal squamous cell carcinoma","laryngeal squamous cell carcinoma","10/250","216/17907",0.0462962962962963,3.31611111111111,4.07493710770252,0.000942408397150794,0.0132196079006922,0.00973476805848073,"KRT4/EZR/MUS81/NME1/KRT31/CALML3/KRT13/CTNNA3/FSCN1/IGFBP7",10,"up"
"cholelithiasis","cholelithiasis","8/250","145/17907",0.0551724137931034,3.95188965517241,4.24667497764512,0.000993980007924942,0.0138668358482644,0.0102113793163874,"ACTA1/HBB/HP/PKM/SERPINC1/APOE/F2/TTR",8,"up"
"hepatic encephalopathy","hepatic encephalopathy","9/250","181/17907",0.0497237569060773,3.56161325966851,4.12152855862816,0.00102248038591562,0.0141869153545792,0.0104470822039205,"HBE1/GC/NME2/ASS1/FABP3/SERPINC1/F2/MAOA/TTR",9,"up"
"cholesteatoma","cholesteatoma","8/250","146/17907",0.0547945205479452,3.92482191780822,4.22233789680695,0.00103918357987738,0.0143407334023079,0.0105603520549702,"HSP90B1/PRDX2/KRT1/KRT10/KRT4/KRT14/KRT13/PGK1",8,"up"
"severe pre-eclampsia","severe pre-eclampsia","10/250","219/17907",0.045662100456621,3.27068493150685,4.02300346368967,0.00104638381456652,0.0143624617128404,0.0105763525343282,"HP/HSPA1B/SERPINE1/DUSP9/SERPINC1/CTNNA3/PLG/F2/TTR/GSTP1",10,"up"
"hemoglobinuria","hemoglobinuria","6/250","83/17907",0.072289156626506,5.17792771084337,4.53950205063489,0.00107318636777574,0.0143664578930765,0.0105792952757476,"KRT84/HP/PKM/VCL/F2/HPX",6,"up"
"megaloblastic anemia","megaloblastic anemia","6/250","83/17907",0.072289156626506,5.17792771084337,4.53950205063489,0.00107318636777574,0.0143664578930765,0.0105792952757476,"HBE1/HP/HPRT1/TFRC/MPO/MBD1",6,"up"
"acanthoma","acanthoma","3/250","15/17907",0.2,14.3256,6.14347072940565,0.00108043866645933,0.0143664578930765,0.0105792952757476,"KRT1/KRT10/KRT14",3,"up"
"congenital nonspherocytic hemolytic anemia","congenital nonspherocytic hemolytic anemia","3/250","15/17907",0.2,14.3256,6.14347072940565,0.00108043866645933,0.0143664578930765,0.0105792952757476,"PKM/PGK1/ADA",3,"up"
"squamous cell neoplasm","squamous cell neoplasm","3/250","15/17907",0.2,14.3256,6.14347072940565,0.00108043866645933,0.0143664578930765,0.0105792952757476,"KRT1/KRT10/KRT14",3,"up"
"testicular yolk sac tumor","testicular yolk sac tumor","3/250","15/17907",0.2,14.3256,6.14347072940565,0.00108043866645933,0.0143664578930765,0.0105792952757476,"HP/TTR/HPX",3,"up"
"chromophobe adenocarcinoma","chromophobe adenocarcinoma","4/250","33/17907",0.121212121212121,8.68218181818182,5.25583243445072,0.00110383193703923,0.0146014659858091,0.0107523525473252,"SLC2A1/PKM/VIM/KIT",4,"up"
"pleural cancer","pleural cancer","10/250","221/17907",0.0452488687782805,3.24108597285068,3.98887732153882,0.00112078251690063,0.0147492668332335,0.0108611914008927,"SLC2A1/NME2/EIF4A2/NME1/ASS1/ALDOA/EEF1B2/TXN/CCAR1/MYL3",10,"up"
"shigellosis","shigellosis","7/250","115/17907",0.0608695652173913,4.3599652173913,4.30112587570923,0.00115882025651683,0.0150942250759565,0.0111152147053655,"RDX/EZR/CDC42/VCL/FSCN1/TTR/A2M",7,"up"
"thrombotic thrombocytopenic purpura","thrombotic thrombocytopenic purpura","7/250","115/17907",0.0608695652173913,4.3599652173913,4.30112587570923,0.00115882025651683,0.0150942250759565,0.0111152147053655,"HP/SERPINE1/SERPINC1/MPO/CFHR1/PLG/F2",7,"up"
"atopic dermatitis","atopic dermatitis","16/250","482/17907",0.033195020746888,2.37769294605809,3.64838277314803,0.0012654959616825,0.0164000568029209,0.0120768142536198,"HBB/KRT1/KRT10/KRT17/KNG1/RAB12/KRT6A/KRT14/KRT72/CCR3/RPS5/RPRD1B/RIPK2/FABP5/TPT1/HSPD1",16,"up"
"phlebitis","phlebitis","7/250","117/17907",0.0598290598290598,4.2854358974359,4.24237242034018,0.00128129919739588,0.0165209941967256,0.0121658711671932,"EZR/FGG/SERPINC1/KCNAB2/PLG/F2/TTR",7,"up"
"breast benign neoplasm","breast benign neoplasm","9/250","189/17907",0.0476190476190476,3.41085714285714,3.96465924089694,0.00138309781439709,0.0176552436007789,0.0130011194553327,"PZP/DES/ACTA1/SLC2A1/KRT31/KRT14/KRT15/KCNAB2/PLG",9,"up"
"thoracic benign neoplasm","thoracic benign neoplasm","9/250","189/17907",0.0476190476190476,3.41085714285714,3.96465924089694,0.00138309781439709,0.0176552436007789,0.0130011194553327,"PZP/DES/ACTA1/SLC2A1/KRT31/KRT14/KRT15/KCNAB2/PLG",9,"up"
"histiocytosis","histiocytosis","12/250","310/17907",0.0387096774193548,2.77269677419355,3.74633681590667,0.00143456361759696,0.0181717554898374,0.013381472902818,"TFRC/VIM/CTSB/FABP3/PGK1/CCR3/APOE/MPO/SERPINB8/FSCN1/GDI2/ARSA",12,"up"
"trypanosomiasis","trypanosomiasis","15/250","442/17907",0.0339366515837104,2.43081447963801,3.62427382139385,0.00143779655657938,0.0181717554898374,0.013381472902818,"PZP/ACTC1/KRT18/KNG1/HP/NME2/TFRC/CTSB/SLC25A3/MPO/VCL/RNH1/ADA/F2/A2M",15,"up"
"hemorrhagic fever with renal syndrome","hemorrhagic fever with renal syndrome","7/250","120/17907",0.0583333333333333,4.1783,4.15666470974388,0.00148376014911265,0.0184534646529155,0.0135889203084532,"HBB/KNG1/TFRC/SERPINC1/PLG/F2/ALAD",7,"up"
"coronary thrombosis","coronary thrombosis","5/250","60/17907",0.0833333333333333,5.969,4.58746586820632,0.00148899871464966,0.0184534646529155,0.0135889203084532,"KNG1/SERPINE1/SERPINC1/PLG/F2",5,"up"
"erythropoietic protoporphyria","erythropoietic protoporphyria","5/250","60/17907",0.0833333333333333,5.969,4.58746586820632,0.00148899871464966,0.0184534646529155,0.0135889203084532,"S100A6/KRT84/TFRC/ALAD/HPX",5,"up"
"priapism","priapism","5/250","60/17907",0.0833333333333333,5.969,4.58746586820632,0.00148899871464966,0.0184534646529155,0.0135889203084532,"HBB/SLC4A1/ADA/F2/RHOA",5,"up"
"hypochromic microcytic anemia","hypochromic microcytic anemia","4/250","36/17907",0.111111111111111,7.95866666666667,4.9729454158404,0.00153782487883542,0.0188753217099366,0.0138995710202432,"HBB/HBE1/TFRC/ALAD",4,"up"
"protein s deficiency","protein s deficiency","4/250","36/17907",0.111111111111111,7.95866666666667,4.9729454158404,0.00153782487883542,0.0188753217099366,0.0138995710202432,"SERPINE1/SERPINC1/PLG/F2",4,"up"
"Primary cutaneous amyloidosis","Primary cutaneous amyloidosis","3/250","17/17907",0.176470588235294,12.6402352941176,5.71336388844876,0.00158175374845785,0.0193216139703966,0.0142282155363673,"KRT1/KRT14/APOE",3,"up"
"hyperhomocysteinemia","hyperhomocysteinemia","9/250","193/17907",0.0466321243523316,3.34016580310881,3.88935691519487,0.00159839567840612,0.019431924604623,0.014309447025731,"PRDX2/KNG1/SERPINE1/TXN/SERPINC1/APOE/PLG/F2/TTR",9,"up"
"hepatic vascular disease","hepatic vascular disease","11/250","273/17907",0.0402930402930403,2.88610989010989,3.73666129511401,0.00163820381877514,0.0198214898072651,0.0145963183852951,"KRT18/MSN/KNG1/HP/HINT1/VIM/SERPINC1/BLVRB/PLG/F2/MAOA",11,"up"
"pulmonary embolism","pulmonary embolism","8/250","157/17907",0.0509554140127389,3.64983439490446,3.96807814550216,0.00165350892471155,0.0199123032301348,0.0146631923512156,"HP/SERPINE1/FABP3/SERPINC1/MPO/PLG/F2/TTR",8,"up"
"bile duct carcinoma","bile duct carcinoma","15/250","449/17907",0.0334075723830735,2.39291759465479,3.55682244588219,0.00167618601808653,0.0200906239632625,0.0147945056995431,"ACTA1/S100A6/ENO1/KRT19/KRT17/RPLP2/KIT/FSCN1/BLVRB/CCT6A/CD24/F2/RHOC/SALL4/FABP5",15,"up"
"amebiasis","amebiasis","7/250","123/17907",0.0569105691056911,4.07639024390244,4.07370984115514,0.00171034996644837,0.0201368751692683,0.0148285645586465,"RDX/P4HB/CTSB/TXN/HNRNPU/RPS10/A2M",7,"up"
"Disease by infectious agent","Disease by infectious agent","13/250","360/17907",0.0361111111111111,2.58656666666667,3.6184199889788,0.00171444542362559,0.0201368751692683,0.0148285645586465,"HBB/HBE1/HSPA1B/HBG1/CTSB/HSPA1A/HSPA1L/APOE/KIAA1614/CFHR1/CYB5R3/RIPK2/SMIM14",13,"up"
"alpha 1-antitrypsin deficiency","alpha 1-antitrypsin deficiency","6/250","91/17907",0.0659340659340659,4.72272527472528,4.23630692721253,0.00172808964982937,0.0201368751692683,0.0148285645586465,"KRT18/GC/SERPINC1/MPO/TTR/GSTP1",6,"up"
"choroid disease","choroid disease","6/250","91/17907",0.0659340659340659,4.72272527472528,4.23630692721253,0.00172808964982937,0.0201368751692683,0.0148285645586465,"PGK1/GATM/GDI2/GDI1/VDAC1/ARSA",6,"up"
"macular holes","macular holes","6/250","91/17907",0.0659340659340659,4.72272527472528,4.23630692721253,0.00172808964982937,0.0201368751692683,0.0148285645586465,"KRT18/NEFH/GAS7/PLG/TTR/HPX",6,"up"
"peritonitis","peritonitis","12/250","317/17907",0.0378548895899054,2.71147003154574,3.65827918651972,0.00173044738656846,0.0201368751692683,0.0148285645586465,"KNG1/HP/SERPINE1/CTSB/SERPINC1/MPO/PLG/ADA/F2/TTR/RPS19/RIPK2",12,"up"
"sarcoidosis","sarcoidosis","11/250","275/17907",0.04,2.86512,3.70879794258023,0.00173525755473523,0.0201368751692683,0.0148285645586465,"KNG1/HP/TFRC/HSPA1L/PRDX1/CCR3/MPO/FSCN1/ADA/RIPK2/HSPD1",11,"up"
"thrombophilia","thrombophilia","11/250","276/17907",0.0398550724637681,2.85473913043478,3.69495997919667,0.00178551748566394,0.020603038352216,0.0151718417948163,"KNG1/HP/PAFAH1B2/SERPINE1/FGG/SERPINC1/MPO/CFHR1/PLG/FGB/F2",11,"up"
"primary pulmonary hypertension","primary pulmonary hypertension","7/250","124/17907",0.0564516129032258,4.04351612903226,4.04664188003248,0.0017915685523666,0.020603038352216,0.0151718417948163,"ACTC1/KNG1/SERPINE1/SERPINC1/KCNAB2/PLG/MAOA",7,"up"
"cholestasis","cholestasis","16/250","500/17907",0.032,2.292096,3.48681299135931,0.00183938593167468,0.0210580819890827,0.0155069307244323,"KRT18/KRT19/RDX/HP/PKM/TFRC/ASS1/ALDOA/SERPINC1/APOE/MPO/ALDOC/FSCN1/PLG/F2/TTR",16,"up"
"transitional meningioma","transitional meningioma","3/250","18/17907",0.166666666666667,11.938,5.52448724826845,0.00187864764865081,0.0214115511027032,0.0157672213368907,"MSN/RDX/EZR",3,"up"
"laryngeal carcinoma","laryngeal carcinoma","12/250","321/17907",0.0373831775700935,2.67768224299065,3.60902196772957,0.00192094107161985,0.0217889777602135,0.0160451540106547,"SLC2A1/KRT4/EZR/MUS81/NME2/NME1/KRT31/CALML3/KRT13/CTNNA3/FSCN1/IGFBP7",12,"up"
"communicating hydrocephalus","communicating hydrocephalus","6/250","93/17907",0.0645161290322581,4.62116129032258,4.1660018203059,0.00193111709875083,0.0217889777602135,0.0160451540106547,"DES/VIM/FABP3/APOE/TTR/HYDIN",6,"up"
"pleomorphic adenoma","pleomorphic adenoma","8/250","161/17907",0.0496894409937888,3.55915527950311,3.881237093186,0.00193736700022266,0.0217889777602135,0.0160451540106547,"S100A6/SLC2A1/KRT17/VIM/KRT6A/KRT14/SERPINB8/FSCN1",8,"up"
"chronic pulmonary heart disease","chronic pulmonary heart disease","7/250","126/17907",0.0555555555555556,3.97933333333333,3.99334758336309,0.00196296879744236,0.0219800848239927,0.01618588306663,"ACTC1/KNG1/SERPINE1/SERPINC1/KCNAB2/PLG/MAOA",7,"up"
"malignant teratoma","malignant teratoma","5/250","64/17907",0.078125,5.5959375,4.38269248643245,0.00198707424988126,0.0221528408731304,0.0163130986453134,"S100A6/KRT19/INA/TG/SALL4",5,"up"
"endocardium disease","endocardium disease","11/250","281/17907",0.0391459074733096,2.80394306049822,3.62668585424929,0.00205497121910679,0.0227718313058157,0.0167689161202247,"ENO1/HP/PPIA/SERPINE1/FABP3/SERPINC1/MPO/RNH1/PLG/F2/HSPD1",11,"up"
"cartilage-hair hypoplasia","cartilage-hair hypoplasia","4/250","39/17907",0.102564102564103,7.34646153846154,4.72103064974583,0.00207827524255976,0.0227718313058157,0.0167689161202247,"NME1/SLC25A4/ADA/RPS19",4,"up"
"intraductal papilloma","intraductal papilloma","4/250","39/17907",0.102564102564103,7.34646153846154,4.72103064974583,0.00207827524255976,0.0227718313058157,0.0167689161202247,"ACTA1/KRT18/SLC2A1/KRT14",4,"up"
"Palmoplantar keratosis","Palmoplantar keratosis","4/250","39/17907",0.102564102564103,7.34646153846154,4.72103064974583,0.00207827524255976,0.0227718313058157,0.0167689161202247,"KRT1/KRT17/KRT6A/KRT14",4,"up"
"fatty liver disease","fatty liver disease","13/250","369/17907",0.035230352303523,2.52347967479675,3.51860609504616,0.0021287431815337,0.0231263035849172,0.0170299454522696,"PZP/KRT18/HP/EIF4A2/SERPINE1/FABP3/TXN/APOE/PLG/TFB2M/SAMM50/F2/RAB18",13,"up"
"nervous system benign neoplasm","nervous system benign neoplasm","13/250","369/17907",0.035230352303523,2.52347967479675,3.51860609504616,0.0021287431815337,0.0231263035849172,0.0170299454522696,"KRT19/KRT84/SLC2A1/EZR/GC/NEFM/KRT14/CDC42/KIT/FSCN1/ALAD/GSK3B/FABP5",13,"up"
"infective endocarditis","infective endocarditis","7/250","128/17907",0.0546875,3.91715625,3.94113986314606,0.00214680717634152,0.0231784475448735,0.0170683436679836,"ENO1/PPIA/SERPINE1/SERPINC1/MPO/PLG/F2",7,"up"
"cervix uteri carcinoma in situ","cervix uteri carcinoma in situ","6/250","95/17907",0.0631578947368421,4.52387368421053,4.09766667459774,0.0021517007709107,0.0231784475448735,0.0170683436679836,"SLC2A1/KRT10/KRT4/KRT17/KRT13/XRCC5",6,"up"
"Familial hypertrophic cardiomyopathy","Familial hypertrophic cardiomyopathy","3/250","19/17907",0.157894736842105,11.3096842105263,5.34997935545747,0.00220804154772872,0.0234880419639642,0.0172963254572083,"ACTC1/VCL/MYL3",3,"up"
"granulomatous amebic encephalitis","granulomatous amebic encephalitis","3/250","19/17907",0.157894736842105,11.3096842105263,5.34997935545747,0.00220804154772872,0.0234880419639642,0.0172963254572083,"ENO1/CTSB/FSCN1",3,"up"
